location_id,country,city,region
L00001,Gibraltar,New Pamelamouth,North Carolina
L00002,Tanzania,Rebeccabury,Mississippi
L00003,Greenland,Georgefurt,Pennsylvania
L00004,North Macedonia,West Deniseport,Nevada
L00005,Spain,West Norman,Wyoming
L00006,Indonesia,North Hayley,West Virginia
L00007,Bhutan,Amandaside,Pennsylvania
L00008,Cocos (Keeling) Islands,Thomasland,Washington
L00009,Comoros,New Charlotteview,Ohio
L00010,Australia,South Travis,Wyoming
L00011,Palestinian Territory,Sarahmouth,Kansas
L00012,Iceland,Lake Brittany,Maine
L00013,Burkina Faso,Martinfurt,Oklahoma
L00014,United States of America,Lake Alan,Iowa
L00015,Ukraine,Lunaborough,Wyoming
L00016,Colombia,East Joanna,Connecticut
L00017,Estonia,Port Williamstad,Arizona
L00018,Lebanon,Shelbyside,Utah
L00019,Uganda,Jonesstad,Louisiana
L00020,Anguilla,South James,Missouri
L00021,Uruguay,Lake Michael,Connecticut
L00022,Kazakhstan,Laurenfort,Oklahoma
L00023,Saint Vincent and the Grenadines,Abigailville,Delaware
L00024,Cyprus,Matthewton,Virginia
L00025,Saint Lucia,New James,Rhode Island
L00026,Uzbekistan,East Elizabeth,Michigan
L00027,Netherlands,West Cathy,Delaware
L00028,United Arab Emirates,West Natalie,Missouri
L00029,Nauru,Taylorhaven,Maryland
L00030,Poland,Kelleyport,California
L00031,Libyan Arab Jamahiriya,Jameshaven,Ohio
L00032,Tanzania,Harrisside,Virginia
L00033,Sao Tome and Principe,North Johnmouth,Utah
L00034,Saint Martin,Lake Richard,Colorado
L00035,Australia,Michaelside,Connecticut
L00036,Greece,South William,Nebraska
L00037,Saint Lucia,South Patrickchester,Iowa
L00038,Solomon Islands,New Lisa,Oregon
L00039,New Caledonia,Ryanville,Hawaii
L00040,Holy See (Vatican City State),Erinview,Rhode Island
L00041,Indonesia,Teresaland,Rhode Island
L00042,Martinique,Derektown,New Mexico
L00043,Suriname,Tammystad,Texas
L00044,Liechtenstein,East Sheena,Arizona
L00045,American Samoa,East Nicole,Oregon
L00046,Yemen,Port Destinyshire,Kansas
L00047,Montenegro,Dustinmouth,Indiana
L00048,Iran,Alyssahaven,South Carolina
L00049,Guyana,Parsonsland,Montana
L00050,French Polynesia,Allisonbury,Iowa
L00051,Namibia,Mitchellland,Hawaii
L00052,Isle of Man,Brownmouth,New Mexico
L00053,Faroe Islands,Jeantown,Alabama
L00054,Mauritius,West Gerald,Vermont
L00055,Venezuela,Sarahfort,Alabama
L00056,Cape Verde,Lake Victoriamouth,Oregon
L00057,Togo,South Thomashaven,North Carolina
L00058,Gibraltar,Susanside,Vermont
L00059,Venezuela,East Christophermouth,Indiana
L00060,Puerto Rico,Masseyfort,Wyoming
L00061,Nicaragua,East Vincentport,Maryland
L00062,Montserrat,Nathanbury,Minnesota
L00063,Liechtenstein,Nguyenmouth,Missouri
L00064,Tanzania,Christophershire,Kentucky
L00065,Zimbabwe,Williamhaven,New York
L00066,Azerbaijan,Cassandraville,Oregon
L00067,Mexico,Stacieberg,Mississippi
L00068,Serbia,North Ryanside,Georgia
L00069,Cayman Islands,Salazarport,Iowa
L00070,Montenegro,Patriciaton,Idaho
L00071,Nigeria,Amandaport,Alaska
L00072,Kuwait,New Brandon,Missouri
L00073,Dominican Republic,New Elizabeth,Missouri
L00074,Mongolia,North Cheryl,New York
L00075,Congo,Ashleymouth,California
L00076,Saint Pierre and Miquelon,Lake Kevin,Kansas
L00077,Macao,Woodhaven,Rhode Island
L00078,Saint Martin,Sarabury,Minnesota
L00079,Palau,Joyceshire,Minnesota
L00080,Chad,Port Lisa,Kentucky
L00081,Papua New Guinea,Angiehaven,Idaho
L00082,Brunei Darussalam,Pattersonmouth,Louisiana
L00083,Tuvalu,Brandonberg,Nevada
L00084,Jersey,Port Patrickville,Texas
L00085,Samoa,New Thomasfurt,Alaska
L00086,Uganda,North Danielleville,Tennessee
L00087,Pitcairn Islands,South Tamaraside,Idaho
L00088,Nicaragua,Villarrealtown,Iowa
L00089,British Indian Ocean Territory (Chagos Archipelago),Port Courtney,Wisconsin
L00090,Guyana,Mirandahaven,California
L00091,Tuvalu,East Sandra,Iowa
L00092,United States Virgin Islands,Larsonberg,North Carolina
L00093,Benin,Leahfort,Virginia
L00094,Martinique,Hensonport,New Jersey
L00095,Congo,East Matthewstad,Connecticut
L00096,Micronesia,Lake Shawnton,Nebraska
L00097,United States of America,New Brianbury,New Jersey
L00098,Sri Lanka,North Aaron,Virginia
L00099,Saint Lucia,Bauertown,Arkansas
L00100,Christmas Island,Christianhaven,Ohio
